recorded_at,reading_time_sgt,avg_rh,avg_temp_c,frizz_index,tier,stations_rh_json,source
2026-09-05T17:14:14+08:00,2026-09-05T17:10:00+08:00,70.1,30.4,46,Manageable,"{""S107"": 70.1}",NEA
2026-09-05T21:19:39+08:00,2026-09-05T21:15:00+08:00,70.96,29.2,47,Manageable,"{""S107"": 74.6, ""S43"": 69.4, ""S44"": 68.8, ""S23"": 68.1, ""S80"": 71.3, ""S111"": 72.9, ""S102"": 72.2, ""S115"": 70.4}",NEA
2026-09-06T00:40:52+08:00,2026-09-06T00:40:00+08:00,80.1,28.6,64,Elevated,"{""S117"": 78.8, ""S107"": 80.3, ""S06"": 83, ""S23"": 76.2, ""S80"": 82.2}",NEA
2026-09-06T02:54:41+08:00,2026-09-06T02:50:00+08:00,82.3,28.5,68,Elevated,"{""S107"": 82.3}",NEA
2026-09-06T05:01:52+08:00,2026-09-06T05:00:00+08:00,85.76,28.25,74,Elevated,"{""S107"": 81.8, ""S44"": 84.5, ""S23"": 88.9, ""S80"": 88.3, ""S102"": 85.3}",NEA
2026-09-06T07:40:21+08:00,2026-09-06T07:35:00+08:00,82.5,28.4,68,Elevated,"{""S107"": 82.5}",NEA
2026-09-06T11:53:24+08:00,2026-09-06T11:50:00+08:00,65.8,31.25,38,Manageable,"{""S117"": 72.6, ""S50"": 68.3, ""S107"": 71.3, ""S43"": 63.9, ""S06"": 58.8, ""S106"": 58.4, ""S23"": 61, ""S80"": 60.7, ""S102"": 77.2}",NEA
2026-09-06T16:32:43+08:00,2026-09-06T16:30:00+08:00,55.59,32.04,19,Calm,"{""S107"": 61.7, ""S43"": 56.9, ""S44"": 51.9, ""S121"": 45.4, ""S106"": 54.3, ""S23"": 46.3, ""S80"": 47.6, ""S111"": 65.8, ""S115"": 70.4}",NEA
2026-09-06T20:44:42+08:00,2026-09-06T20:40:00+08:00,71.51,29.38,48,Manageable,"{""S117"": 74.8, ""S50"": 71.3, ""S107"": 71, ""S44"": 69.7, ""S121"": 66.7, ""S106"": 74.9, ""S23"": 66.1, ""S80"": 70.5, ""S102"": 78.6}",NEA
2026-09-07T00:04:23+08:00,2026-09-07T00:00:00+08:00,76.9,28.9,58,Elevated,"{""S107"": 75, ""S43"": 73.3, ""S44"": 79.6, ""S23"": 79.3, ""S80"": 74.8, ""S102"": 79.4}",NEA
2026-09-07T02:57:16+08:00,2026-09-07T02:50:00+08:00,74.5,28.4,54,Elevated,"{""S107"": 74.5}",NEA
